"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple"
1155,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo calyptratus","Veiled chameleon",87,4,0.045977011,"-",7,0,0,0,2,0.022988506,1,"-",92,9,87,11,"-",4.437869822,4.50295858,-1,-1,13.599,35,2.4,-1,0.56,-1,200.215,-1,-1,-1,0.107211253
675,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Bitis","Bitis arietans","Puff adder",83,2,0.024096386,"-",2,1,0.012048193,0.5,1,0.012048193,0.5,"-",83,2,83,4,"-",-1,-1,-1,-1,6.250034726,156,-1,-1,-1,-1,2381,-1,189.6,-1,0.10976426
1559,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Iguanidae","Ctenosaura","Ctenosaura bakeri","Bakers spiny tail iguana",80,0,0,"-",0,0,0,NA,0,0,NA,"-",80,0,80,2,"-",-1,-1,-1,-1,5.45889109,15,-1,-1,-1,-1,399.4,-1,165.6,-1,0.111803399
701,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Boiga","Boiga dendrophila","Mangrove snake",68,1,0.014705882,"-",1,1,0.014705882,1,0,0,0,"-",68,1,68,6,"-",-1,0.493096647,0.558842867,-1,15,-1,-1,-1,-1,-1,-1,-1,204,-1,0.121267813
3140,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Colubridae","Pantherophis","Pantherophis guttatus","Corn snake",67,23,0.343283582,"-",33,16,0.23880597,0.787878788,7,0.104477612,0.212121212,"-",77,33,67,27,"-",19.72386588,18.8678501,1.692965155,-1,58.698,12,-1,-1,-1,-1,900,-1,387.6,-1,0.122169444
4416,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Uroplatus","Uroplatus sikorae","Leaf tailed gecko",64,2,0.03125,"-",2,1,0.015625,0.5,1,0.015625,0.5,"-",64,2,64,10,"-",-1,-1,-1,-1,0.514243364,-1,-1,-1,-1,-1,-1,-1,15.6,-1,0.125
2869,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Pythonidae","Morelia","Morelia spilota","Diamond python",63,3,0.047619048,"-",2,1,0.015873016,0.5,1,0.015873016,0.5,"-",63,3,63,9,"-",-1,-1,2.071005917,-1,7.753207635,21.6,-1,-1,25.9,-1,15926,-1,235.2,-1,0.125988158
2160,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Helodermatidae","Heloderma","Heloderma suspectum","Gila monster",63,11,0.174603175,"-",21,10,0.158730159,0.714285714,1,0.015873016,0.285714286,"-",73,21,63,17,"-",-1,-1,-1,-1,11.43202554,5.3,-1,-1,45.39,-1,553.41,-1,346.8,-1,0.125988158
3402,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Agamidae","Pogona","Pogona vitticeps","Bearded dragon",59,10,0.169491525,"-",9,6,0.101694915,0.666666667,3,0.050847458,0.333333333,"-",59,10,59,21,"-",17.99802761,-1,-1,-1,547.5,19,-1,-1,3.16,-1,500,-1,144,-1,0.130188911
1800,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Homalopsidae","Erpeton","Erpeton tentaculatum","Tentacled snake",56,0,0,"-",0,0,0,NA,0,0,NA,"-",56,0,56,11,"-",-1,-1,-1,-1,5.379776726,-1,-1,-1,-1,-1,131,-1,163.2,-1,0.133630621
